course,id,title,domain_label,reference_contribution,reference_confidence,reference_confidence_score,evidence_level,url
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,445,Contabilidad para tu eCommerce,Costos y rentabilidad,Podría aportar una referencia para preparar registros y dudas contables del ecommerce antes de una revisión con el profesional correspondiente.,INFERRED,0.77,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/445
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,472,Conoce los impuestos que impactan a tu eCommerce,Revisión legal y fiscal,"Podría orientar la identificación de preguntas tributarias relacionadas con ventas digitales, sujetas a jurisdicción y revisión fiscal profesional actualizada.",INFERRED,0.8,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/472
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,484,Impuestos para emprendedores en México,Revisión legal y fiscal,"Podría ayudar a preparar una consulta fiscal en México con datos del emprendimiento, sin calcular obligaciones ni validar regímenes vigentes.",INFERRED,0.8,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/484
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,503,Potencializa tu negocio con el correcto manejo de tus impuestos,Revisión legal y fiscal,Podría organizar dudas sobre gestión tributaria para revisión profesional; el título promocional no acredita ahorros ni beneficios fiscales reales.,INFERRED,0.74,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/503
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,526,Impuestos en tu eCommerce,Revisión legal y fiscal,"Podría servir para reunir documentos y preguntas de impuestos del ecommerce, manteniendo toda conclusión fiscal pendiente de asesoría profesional.",INFERRED,0.79,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/526
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,433,Los pilares para vender más en Mercado Libre,Conversación y conversión,"Podría apoyar un diagnóstico inicial de obstáculos comerciales en Mercado Libre, sin atribuir al curso pilares específicos aún no observados.",INFERRED,0.7,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/433
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,434,Vende en Mercado Libre,Tienda y catálogo,Podría orientar al miembro hacia una referencia introductoria del canal Mercado Libre y un checklist preliminar de preparación comercial.,INFERRED,0.7,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/434
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,435,Los pilares para vender por Mercado Libre,Conversación y conversión,Podría servir para listar preguntas sobre la venta en Mercado Libre; faltan los contenidos para concretar los pilares anunciados.,INFERRED,0.7,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/435
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,481,Impulsa tu Negocio en Mercado Libre: Técnicas y Estrategias de Posicionamiento para el Éxito en el Marketplace,Tienda y catálogo,"Podría apoyar una revisión de visibilidad del catálogo en Mercado Libre, sin deducir criterios actuales de posicionamiento ni garantizar éxito.",INFERRED,0.75,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/481
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,505,Dominando Mercado Libre: Estrategias avanzadas,Conversación y conversión,Podría ubicarse como referencia posterior para obstáculos comerciales en Mercado Libre; las estrategias avanzadas requieren descripción antes de recomendarse específicamente.,INFERRED,0.62,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/505
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,456,Laboratorio de ventas,Conversación y conversión,"Podría señalar una referencia práctica para revisar un problema de ventas, aunque el índice no especifica ejercicios ni criterios de evaluación.",INFERRED,0.64,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/456
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,471,Laboratorio de ventas 2.0,Conversación y conversión,Podría complementar una ruta de práctica comercial; la numeración del laboratorio no revela diferencias de contenido respecto a la sesión anterior.,INFERRED,0.62,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/471
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,497,Descubre los Pasos Iniciales para Definir y Posicionar tu Marca,Marca y propuesta de valor,Podría apoyar preguntas iniciales para definir identidad y posicionamiento de marca antes de redactar una propuesta de valor del miembro.,INFERRED,0.8,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/497
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,513,Descubre los Pasos Iniciales para Definir y Posicionar tu Marca II Parte,Marca y propuesta de valor,"Podría servir como continuación de una revisión de posicionamiento, sin asumir qué decisiones de marca amplía esta segunda parte.",INFERRED,0.76,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/513
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,534,Colores que conquistan,Marca y propuesta de valor,"Podría orientar la elección preliminar de una paleta coherente con la identidad comercial, sin atribuir efectos persuasivos demostrados a colores.",INFERRED,0.69,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/534
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,545,Diseña tu huella: creación de logos,Marca y propuesta de valor,"Podría apoyar un brief de logotipo con identidad y usos esperados, manteniendo revisión humana de originalidad y posibles conflictos de marca.",INFERRED,0.79,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/545
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,569,bienvenida 2024,Orientación y ruta académica,Referencia a bienvenida de 2024; hace falta descripción o transcripción para saber qué orientación concreta podría recibir el miembro.,AMBIGUOUS,0.15,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/569
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,425,Fotografía de productos sin cámara pro,Contenido y creatividad,"Podría apoyar una lista de tomas de producto con equipo accesible, sin asumir configuraciones fotográficas específicas descritas por el docente.",INFERRED,0.8,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/425
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,504,Construyendo comunidades en línea: Fundamentos del Community Management,Atención y posventa,"Podría orientar respuestas y pautas preliminares de interacción con una comunidad digital, con escalamiento humano de conflictos y consultas sensibles.",INFERRED,0.76,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/504
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,523,Creación de contenido para vender más,Contenido y creatividad,"Podría apoyar ideas y borradores de piezas comerciales según el producto, sin presentar la creación de contenido como garantía de ventas.",INFERRED,0.76,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/523
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,430,Objetivos de campaña en Facebook ADS y hacks para vender en redes sociales,Publicidad y experimentos,"Podría ayudar a comparar objetivos de campaña de Meta antes de elaborar un brief, sin asumir disponibilidad actual de las opciones mencionadas.",INFERRED,0.8,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/430
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,436,"Funnel de conversión, qué es y cómo funciona?",Conversación y conversión,Podría servir de referencia conceptual al dibujar el recorrido del comprador y localizar una etapa donde se pierden oportunidades comerciales.,INFERRED,0.8,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/436
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,437,Funnel de ventas para tu eCommerce,Conversación y conversión,"Podría orientar un mapa sencillo del recorrido de compra de la tienda, adaptado al canal y bloqueo reportado por el miembro.",INFERRED,0.79,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/437
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,438,Crea Funnells que conviertan más,Conversación y conversión,Podría aportar una referencia para formular hipótesis de mejora del embudo; el título no prueba aumentos de conversión ni mecanismos específicos.,INFERRED,0.73,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/438
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,439,"El funnel de ventas perfecto, sesión práctica",Conversación y conversión,"Podría guiar la selección de una referencia práctica para revisar un embudo, sin asumir que exista un diseño universalmente perfecto.",INFERRED,0.74,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/439
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,466,Maquina de ventas inicios,Conversación y conversión,Podría orientar preguntas iniciales sobre un sistema comercial dentro de la sección de funnels; el nombre no revela componentes verificables.,INFERRED,0.61,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/466
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,500,Maximiza tus ventas: Curso de Funnels de ventas para impulsar tu negocio,Conversación y conversión,"Podría apoyar un diagnóstico de etapas del funnel y posibles tareas de mejora, sin prometer maximización de ventas del negocio.",INFERRED,0.75,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/500
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,565,maximiza tus ventas de temporada,Conversación y conversión,"Podría orientar el borrador de una oferta estacional con condiciones verificadas, sin asumir demanda adicional ni resultados de campaña.",INFERRED,0.75,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/565
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,431,"Shopify, como funciona?",Tienda y catálogo,Podría servir de referencia introductoria para explicar al miembro el papel de Shopify y preparar dudas antes de construir su tienda.,INFERRED,0.8,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/431
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,432,Tiendas en linea con Shopify,Tienda y catálogo,"Podría orientar una lista inicial de elementos de tienda en Shopify, sin operar cuentas ni reconstruir pasos no presentes en el índice.",INFERRED,0.78,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/432
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,474,Desarrolla tu marca en Shopify: Estrategias efectivas para construir una tienda Online de éxito,Marca y propuesta de valor,"Podría apoyar la coherencia entre identidad de marca y presentación de la tienda Shopify, sin acreditar éxito comercial de las estrategias.",INFERRED,0.77,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/474
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,476,Herramientas de IA para tu eCommerce: Potencia tu negocio y supera a la competencia,IA aplicada al negocio,"Podría orientar la búsqueda de aplicaciones de IA al bloqueo del ecommerce, requiriendo revisión humana y verificación actual de herramientas.",INFERRED,0.78,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/476
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,496,Domina la Inteligencia Artificial: Aprende los fundamentos y avances recientes,IA aplicada al negocio,"Podría aportar una referencia introductoria sobre IA para formular preguntas y revisar salidas, sin tratar los avances anunciados como información vigente.",INFERRED,0.74,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/496
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,566,proceso de aprendizaje,Productividad y ejecución,Podría apoyar una reflexión sobre hábitos de estudio y seguimiento de tareas; el título no precisa una metodología de aprendizaje.,INFERRED,0.62,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/566
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,567,anuncios de alto impacto,Publicidad y experimentos,"Podría orientar un brief para revisar claridad y propósito de anuncios, sin inferir qué factores generan el impacto comercial anunciado.",INFERRED,0.7,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/567
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,568,De la idea a la marca,Marca y propuesta de valor,Podría ayudar a convertir una idea de negocio en preguntas de identidad y diferenciación antes de preparar mensajes de marca.,INFERRED,0.75,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/568
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,579,Fotografía de producto,Contenido y creatividad,"Podría apoyar una misión de recopilar imágenes claras del producto para revisar su presentación, sin inventar técnicas fotográficas particulares.",INFERRED,0.79,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/579
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,637,Estrategias de Ventas Efectivas,Conversación y conversión,Podría ofrecer una referencia general para explorar obstáculos de conversión; el índice no especifica las estrategias ni evidencia su efectividad.,INFERRED,0.65,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/637
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,645,Como Vender Productos de BGP en Mercado Libre,Tienda y catálogo,"Podría orientar un checklist para presentar productos Be Global Pro en Mercado Libre, verificando disponibilidad y condiciones reales antes de sugerir publicaciones.",INFERRED,0.8,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/645
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,646,Personaliza tu tienda en línea,Tienda y catálogo,"Podría apoyar una revisión de identidad y estructura visual de la tienda del miembro, sin realizar cambios directamente en la plataforma.",INFERRED,0.77,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/646
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,649,Crea tu primera campaña de Facebook,Publicidad y experimentos,"Podría servir como referencia inicial al preparar objetivos, audiencia e insumos de una campaña de Facebook pendiente de aprobación humana.",INFERRED,0.8,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/649
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,652,Crea una campaña de Facebook parte 2,Publicidad y experimentos,Podría ampliar la ruta de preparación de una campaña de Facebook; faltan detalles para distinguir los pasos de esta segunda parte.,INFERRED,0.76,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/652
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,696,Bienvenida del mes,Orientación y ruta académica,Referencia de bienvenida mensual sin tema específico; se necesita descripción antes de asociarla con una misión de ecommerce del miembro.,AMBIGUOUS,0.15,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/696
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,570,Básicos de Shopify,Tienda y catálogo,"Podría orientar una ruta inicial para preparar una tienda Shopify según experiencia del miembro, sin afirmar requisitos actuales de la plataforma.",INFERRED,0.77,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/570
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,571,Seguimientos Efectivos Antes y Después,Atención y posventa,"Podría ayudar a preparar seguimientos anteriores y posteriores a la compra, sujetos a contexto y sin enviar comunicaciones al cliente.",INFERRED,0.7,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/571
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,572,"Brandig ""Datos Básicos para tu Negocio",Marca y propuesta de valor,"Podría orientar preguntas básicas de identidad para redactar mensajes coherentes del negocio, sin reconstruir contenidos concretos a partir del título.",INFERRED,0.76,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/572
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,573,Básicos de Capcut,Contenido y creatividad,"Podría señalar una referencia introductoria de edición para preparar un video sencillo del producto, ajustado a las habilidades del miembro.",INFERRED,0.78,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/573
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,574,Facebook ads principiantes,Publicidad y experimentos,"Podría orientar una ruta de aprendizaje inicial de anuncios en Meta antes de diseñar experimentos, sin ejecutar ni financiar campañas.",INFERRED,0.77,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/574
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,575,Tipo de Clientes y como abordarlos,Conversación y conversión,"Podría apoyar preguntas para adaptar una respuesta comercial al cliente, sin asignar categorías rígidas ni inferir características personales sensibles.",INFERRED,0.78,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/575
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,576,Básicos de Canva,Contenido y creatividad,"Podría orientar una misión de preparar una pieza sencilla en Canva, sin atribuir funciones ni procedimientos específicos al material no leído.",INFERRED,0.79,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/576
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,577,Optimiza tus Redes Sociales,Contenido y creatividad,"Podría apoyar una revisión inicial de coherencia y claridad de perfiles sociales, dejando pendientes las técnicas concretas de optimización.",INFERRED,0.7,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/577
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,654,Bienvenida,Orientación y ruta académica,Referencia de bienvenida ubicada en marzo de 2024; el índice no permite determinar una aportación operativa específica para el agente.,AMBIGUOUS,0.15,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/654
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,655,Fundamentos del Marketing Digital,Conversación y conversión,"Podría aportar una referencia introductoria para ubicar canales y objetivos del negocio, sin reconstruir un marco completo de marketing digital.",INFERRED,0.7,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/655
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,681,Posiciona tu producto en Mercadolibre con publicidad,Publicidad y experimentos,"Podría apoyar un brief de publicidad para la visibilidad de un producto en Mercado Libre, sin garantizar posicionamiento ni activar anuncios.",INFERRED,0.8,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/681
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,682,Organización de tiempo personal y de tu negocio,Productividad y ejecución,"Podría orientar una agenda breve que concilie tiempo personal y tareas del negocio, basada en disponibilidad real del miembro.",INFERRED,0.8,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/682
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,688,"SEO, cómo visualizar tu marca en resultados de Google",Contenido y creatividad,"Podría ayudar a preparar una revisión de contenidos orientada a búsqueda orgánica, sin asumir criterios actuales de clasificación de Google.",INFERRED,0.77,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/688
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,689,Embudo de ventas,Conversación y conversión,Podría apoyar la representación del camino desde interés hasta compra para identificar una siguiente acción comercial concreta del miembro.,INFERRED,0.78,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/689
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,694,Actualización de Facebook Ads,Publicidad y experimentos,Podría servir como referencia histórica sobre cambios en Meta Ads; faltan detalles y verificación actual antes de usarla en instrucciones operativas.,INFERRED,0.67,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/694
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,715,Bienvenida del mes,Orientación y ruta académica,Referencia de bienvenida del mes de mayo; no hay descripción suficiente para recomendar una tarea específica vinculada a esta sesión.,AMBIGUOUS,0.15,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/715
Cursos de Actualización en Vivo: Maximiza tu Conocimiento en Todos los Cursos,1099,Mentoria,Orientación y ruta académica,Referencia a acompañamiento sin tema declarado; el agente necesitaría una descripción o transcripción para justificar su utilidad ante un bloqueo.,AMBIGUOUS,0.18,CATALOG_REFERENCE,https://www.beglobalpro.org/cursos/contenido/d7d44101-5358-4ef0-ae55-920b6c7c840a/1099
