position,id,title,url,phases,intents,summary,purpose,watch_when,next_task
13,M98f4XAD_Ks,✅ Maximiza tus ventas de temporada | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=M98f4XAD_Ks,F6_ventas_cierre;F8_optimizacion_escala,ventas_cierre;optimizar_escalar,Clase de apoyo sobre Maximiza tus ventas de temporada aplicada a ecommerce/dropshipping.,Preparar campañas/ofertas de temporada para mejorar oportunidad de venta.,Recomendar cuando el alumno pida ayuda con: maximiza tus ventas de temporada.,Aplicar 1 mejora a la oferta o mensaje de venta y mandar evidencia.
14,PR5WLXxmau8,✅ Tus primeras ventas en internet (desde cero paso a paso) | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=PR5WLXxmau8,F1_entender_modelo;F6_ventas_cierre,aprender_desde_cero;ventas_cierre,Clase de apoyo sobre Tus primeras ventas en internet (desde cero paso a paso) aplicada a ecommerce/dropshipping.,Ubicar al alumno principiante y darle una ruta clara para iniciar ventas online sin brincar pasos.,Recomendar cuando el alumno pida ayuda con: tus primeras ventas en internet (desde cero paso a paso).,Aplicar 1 mejora a la oferta o mensaje de venta y mandar evidencia.
15,KH-mB9VSQSU,✅ Shopify sin errores (checklist de configuración básica) | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=KH-mB9VSQSU,F4_tienda_canal,configurar_tienda_canal,Clase de apoyo sobre Shopify sin errores (checklist de configuración básica) aplicada a ecommerce/dropshipping.,Acompañar configuración o uso de Shopify para que la tienda pueda recibir y presentar productos correctamente.,Recomendar cuando el alumno pida ayuda con: shopify sin errores (checklist de configuración básica).,Hacer el ajuste en la tienda y mandar captura/link para validar.
16,1RWSN_nPa0c,✅ Cómo crear un carrusel que vende (diseño y estructura) | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=1RWSN_nPa0c,F5_contenido_lanzamiento,crear_contenido,Clase paso a paso sobre crear un carrusel que vende (diseño y estructura).,Complementar la guía del chat con una clase práctica de Be Global Pro relacionada con la petición del alumno.,Recomendar cuando el alumno pida ayuda con: cómo crear un carrusel que vende (diseño y estructura).,"Crear 1 pieza de contenido y enviarla para revisar gancho, claridad y CTA."
17,cRHRZRgqH_I,✅ Los primeros pasos para tu negocio digital (desde cero) | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=cRHRZRgqH_I,F1_entender_modelo,aprender_desde_cero,Clase de apoyo sobre Los primeros pasos para tu negocio digital (desde cero) aplicada a ecommerce/dropshipping.,Ubicar al alumno principiante y darle una ruta clara para iniciar ventas online sin brincar pasos.,Recomendar cuando el alumno pida ayuda con: los primeros pasos para tu negocio digital (desde cero).,"Ver la clase, aplicar el primer cambio y regresar con captura/link para continuar."
18,1yVVly8u1oU,✅ Cómo subir productos en Shopify (paso a paso para vender) | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=1yVVly8u1oU,F2_producto_nicho;F4_tienda_canal;F6_ventas_cierre,elegir_o_mejorar_producto;configurar_tienda_canal;ventas_cierre,Clase paso a paso sobre subir productos en Shopify (paso a paso para vender).,Acompañar configuración o uso de Shopify para que la tienda pueda recibir y presentar productos correctamente.,Recomendar cuando el alumno pida ayuda con: cómo subir productos en shopify (paso a paso para vender).,Aplicar la estructura al producto actual y enviar link/captura para revisión.
19,ft8OSE8lcWI,✅ Rompe el miedo a grabarte (pierde el miedo a la cámara) | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=ft8OSE8lcWI,F5_contenido_lanzamiento;F0_mentalidad,crear_contenido;desbloqueo_mental,Clase de apoyo sobre Rompe el miedo a grabarte (pierde el miedo a la cámara) aplicada a ecommerce/dropshipping.,Complementar la guía del chat con una clase práctica de Be Global Pro relacionada con la petición del alumno.,Recomendar cuando el alumno pida ayuda con: rompe el miedo a grabarte (pierde el miedo a la cámara).,"Ver la clase, aplicar el primer cambio y regresar con captura/link para continuar."
20,gbkT5EZtTpY,✅ Cómo crear tu pixel (Meta Ads desde cero paso a paso) | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=gbkT5EZtTpY,F1_entender_modelo;F4_tienda_canal;F7_ads_tracking,aprender_desde_cero;configurar_tienda_canal;ads_tracking,Clase paso a paso sobre crear tu pixel (Meta Ads desde cero paso a paso).,Guiar configuración de medición/publicidad para preparar campañas y seguimiento.,Recomendar cuando el alumno pida ayuda con: cómo crear tu pixel (meta ads desde cero paso a paso).,Verificar configuración en la plataforma actual y mandar captura del estado.
21,mEMwCtkEVSU,✅ El camino del cliente (cómo atraer y cerrar ventas) | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=mEMwCtkEVSU,F6_ventas_cierre,ventas_cierre,Clase de apoyo sobre El camino del cliente (cómo atraer y cerrar ventas) aplicada a ecommerce/dropshipping.,Complementar la guía del chat con una clase práctica de Be Global Pro relacionada con la petición del alumno.,Recomendar cuando el alumno pida ayuda con: el camino del cliente (cómo atraer y cerrar ventas).,Aplicar 1 mejora a la oferta o mensaje de venta y mandar evidencia.
22,yIS033TNfMY,✅ Cómo funcionan las pasarelas de pago | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=yIS033TNfMY,F4_tienda_canal,configurar_tienda_canal,Clase paso a paso sobre funcionan las pasarelas de pago.,Complementar la guía del chat con una clase práctica de Be Global Pro relacionada con la petición del alumno.,Recomendar cuando el alumno pida ayuda con: cómo funcionan las pasarelas de pago.,"Ver la clase, aplicar el primer cambio y regresar con captura/link para continuar."
23,Pf7pC6P_Jwc,✅ Configura correctamente tus redes sociales | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=Pf7pC6P_Jwc,F5_contenido_lanzamiento,crear_contenido,Clase de apoyo sobre Configura correctamente tus redes sociales aplicada a ecommerce/dropshipping.,"Enseñar uso práctico de IA para crear recursos de ecommerce: imágenes, videos, ideas o contenido.",Recomendar cuando el alumno pida ayuda con: configura correctamente tus redes sociales.,"Crear 1 pieza de contenido y enviarla para revisar gancho, claridad y CTA."
24,IqOYADihvBo,🚀 Genera 30 ideas de contenido para tu ecommerce | Gilberto Madrid,https://www.youtube.com/watch?v=IqOYADihvBo,F1_entender_modelo,aprender_desde_cero,Clase de apoyo sobre Genera 30 ideas de contenido para tu ecommerce | Gilberto Madrid aplicada a ecommerce/dropshipping.,Complementar la guía del chat con una clase práctica de Be Global Pro relacionada con la petición del alumno.,Recomendar cuando el alumno pida ayuda con: genera 30 ideas de contenido para tu ecommerce | gilberto madrid.,"Ver la clase, aplicar el primer cambio y regresar con captura/link para continuar."
25,VzGzN6QZ1Ic,✅ Crea tu primer diseño en Canva (desde cero paso a paso) | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=VzGzN6QZ1Ic,F1_entender_modelo;F5_contenido_lanzamiento,aprender_desde_cero;crear_contenido,Clase de apoyo sobre Crea tu primer diseño en Canva (desde cero paso a paso) aplicada a ecommerce/dropshipping.,Ubicar al alumno principiante y darle una ruta clara para iniciar ventas online sin brincar pasos.,Recomendar cuando el alumno pida ayuda con: crea tu primer diseño en canva (desde cero paso a paso).,"Ver la clase, aplicar el primer cambio y regresar con captura/link para continuar."
26,kNdwSB_meaU,✅ 3 herramientas básicas que todo emprendedor digital debe dominar | BeGlobalPro,https://www.youtube.com/watch?v=kNdwSB_meaU,F6_ventas_cierre,guia_general,Clase de apoyo sobre 3 herramientas básicas que todo emprendedor digital debe dominar | BeGlobalPro aplicada a ecommerce/dropshipping.,Complementar la guía del chat con una clase práctica de Be Global Pro relacionada con la petición del alumno.,Recomendar cuando el alumno pida ayuda con: 3 herramientas básicas que todo emprendedor digital debe dominar | beglobalpro.,"Ver la clase, aplicar el primer cambio y regresar con captura/link para continuar."
27,MR_NJkqqYBk,"✅ Importa fácil, seguro y paso a paso | Clase con los expertos | Be Global Pro",https://www.youtube.com/watch?v=MR_NJkqqYBk,F6_ventas_cierre,guia_general,"Clase de apoyo sobre Importa fácil, seguro y paso a paso aplicada a ecommerce/dropshipping.",Complementar la guía del chat con una clase práctica de Be Global Pro relacionada con la petición del alumno.,"Recomendar cuando el alumno pida ayuda con: importa fácil, seguro y paso a paso.","Ver la clase, aplicar el primer cambio y regresar con captura/link para continuar."
28,64Z056t8BJc,✅ Atrévete a mostrarte: rompe el miedo a grabarte | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=64Z056t8BJc,F5_contenido_lanzamiento;F0_mentalidad,crear_contenido;desbloqueo_mental,Clase de apoyo sobre Atrévete a mostrarte: rompe el miedo a grabarte aplicada a ecommerce/dropshipping.,Complementar la guía del chat con una clase práctica de Be Global Pro relacionada con la petición del alumno.,Recomendar cuando el alumno pida ayuda con: atrévete a mostrarte: rompe el miedo a grabarte.,"Ver la clase, aplicar el primer cambio y regresar con captura/link para continuar."
29,iUHyS9yyvMI,🛍️ Aprende a crear paquetes para tu tienda en Shopify| Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=iUHyS9yyvMI,F4_tienda_canal,configurar_tienda_canal,Clase de apoyo sobre Aprende a crear paquetes para tu tienda en Shopify aplicada a ecommerce/dropshipping.,Acompañar configuración o uso de Shopify para que la tienda pueda recibir y presentar productos correctamente.,Recomendar cuando el alumno pida ayuda con: aprende a crear paquetes para tu tienda en shopify.,Hacer el ajuste en la tienda y mandar captura/link para validar.
30,VifyDQq_Kso,✅ Cómo subir productos de Be Global Pro en Mercado Libre | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=VifyDQq_Kso,F2_producto_nicho;F4_tienda_canal,elegir_o_mejorar_producto;configurar_tienda_canal,Clase paso a paso sobre subir productos de Be Global Pro en Mercado Libre.,"Orientar publicación y optimización dentro de Mercado Libre, verificando políticas actuales de la plataforma.",Recomendar cuando el alumno pida ayuda con: cómo subir productos de be global pro en mercado libre.,Aplicar la estructura al producto actual y enviar link/captura para revisión.
31,SCh5GOmt2-0,✅ Cómo vender por Mercado Libre desde cero | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=SCh5GOmt2-0,F1_entender_modelo;F4_tienda_canal;F6_ventas_cierre,aprender_desde_cero;configurar_tienda_canal;ventas_cierre,Clase paso a paso sobre vender por Mercado Libre desde cero.,Ubicar al alumno principiante y darle una ruta clara para iniciar ventas online sin brincar pasos.,Recomendar cuando el alumno pida ayuda con: cómo vender por mercado libre desde cero.,"Ver la clase, aplicar el primer cambio y regresar con captura/link para continuar."
32,TCiNWT_Z4vw,✅ Cómo subir tus primeras publicaciones en redes sociales | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=TCiNWT_Z4vw,F5_contenido_lanzamiento,crear_contenido,Clase paso a paso sobre subir tus primeras publicaciones en redes sociales.,Dar estructura práctica para crear contenido que atraiga atención y lleve a la venta sin empezar desde cero.,Recomendar cuando el alumno pida ayuda con: cómo subir tus primeras publicaciones en redes sociales.,"Crear 1 pieza de contenido y enviarla para revisar gancho, claridad y CTA."
33,yULh-B_7Pko,✅ Todo lo que puedes hacer en ChatGPT para tu negocio | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=yULh-B_7Pko,F6_ventas_cierre,guia_general,Clase de apoyo sobre Todo lo que puedes hacer en ChatGPT para tu negocio aplicada a ecommerce/dropshipping.,Complementar la guía del chat con una clase práctica de Be Global Pro relacionada con la petición del alumno.,Recomendar cuando el alumno pida ayuda con: todo lo que puedes hacer en chatgpt para tu negocio.,"Ver la clase, aplicar el primer cambio y regresar con captura/link para continuar."
34,5koYVlsBbjc,✅ CapCut desde cero (edita como pro para vender) | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=5koYVlsBbjc,F1_entender_modelo;F6_ventas_cierre,aprender_desde_cero;ventas_cierre,Clase de apoyo sobre CapCut desde cero (edita como pro para vender) aplicada a ecommerce/dropshipping.,Ubicar al alumno principiante y darle una ruta clara para iniciar ventas online sin brincar pasos.,Recomendar cuando el alumno pida ayuda con: capcut desde cero (edita como pro para vender).,"Ver la clase, aplicar el primer cambio y regresar con captura/link para continuar."
35,Rs6ZPanu9xc,✅ Diseña una marca que se vea profesional (branding desde cero)|Capacitación en vivo | Be Global Pro,https://www.youtube.com/watch?v=Rs6ZPanu9xc,F1_entender_modelo;F5_contenido_lanzamiento,aprender_desde_cero;crear_contenido,Clase de apoyo sobre Diseña una marca que se vea profesional (branding desde cero)|Capacitación en vivo | Be Global Pro aplicada a ecommerce/dropshipping.,Ubicar al alumno principiante y darle una ruta clara para iniciar ventas online sin brincar pasos.,Recomendar cuando el alumno pida ayuda con: diseña una marca que se vea profesional (branding desde cero)|capacitación en vivo | be global pro.,"Ver la clase, aplicar el primer cambio y regresar con captura/link para continuar."
36,d5oab_pNOAk,✅ Canva para emprendedores (diseña sin ser diseñador) | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=d5oab_pNOAk,F5_contenido_lanzamiento,crear_contenido,Clase de apoyo sobre Canva para emprendedores (diseña sin ser diseñador) aplicada a ecommerce/dropshipping.,Complementar la guía del chat con una clase práctica de Be Global Pro relacionada con la petición del alumno.,Recomendar cuando el alumno pida ayuda con: canva para emprendedores (diseña sin ser diseñador).,"Ver la clase, aplicar el primer cambio y regresar con captura/link para continuar."
37,siEMCPANap8,✅ Cómo funciona un negocio digital | Capacitación en vivo | Be Global Pro,https://www.youtube.com/watch?v=siEMCPANap8,F1_entender_modelo,aprender_desde_cero,Clase paso a paso sobre funciona un negocio digital | Capacitación en vivo | Be Global Pro.,Complementar la guía del chat con una clase práctica de Be Global Pro relacionada con la petición del alumno.,Recomendar cuando el alumno pida ayuda con: cómo funciona un negocio digital | capacitación en vivo | be global pro.,"Ver la clase, aplicar el primer cambio y regresar con captura/link para continuar."
38,5QUCHbEcrYs,✅ Herramientas básicas para tu negocio digital | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=5QUCHbEcrYs,F1_entender_modelo,aprender_desde_cero,Clase de apoyo sobre Herramientas básicas para tu negocio digital aplicada a ecommerce/dropshipping.,Complementar la guía del chat con una clase práctica de Be Global Pro relacionada con la petición del alumno.,Recomendar cuando el alumno pida ayuda con: herramientas básicas para tu negocio digital.,"Ver la clase, aplicar el primer cambio y regresar con captura/link para continuar."
39,s7uGazFHnL4,✅ Diseño de tienda en línea (estructura que convierte) | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=s7uGazFHnL4,F4_tienda_canal,configurar_tienda_canal,Clase de apoyo sobre Diseño de tienda en línea (estructura que convierte) aplicada a ecommerce/dropshipping.,Complementar la guía del chat con una clase práctica de Be Global Pro relacionada con la petición del alumno.,Recomendar cuando el alumno pida ayuda con: diseño de tienda en línea (estructura que convierte).,Hacer el ajuste en la tienda y mandar captura/link para validar.
40,khVVxk1oiIo,✅ Estrategia de contenido orgánico para negocios | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=khVVxk1oiIo,F5_contenido_lanzamiento,crear_contenido,Clase de apoyo sobre Estrategia de contenido orgánico para negocios aplicada a ecommerce/dropshipping.,"Enseñar uso práctico de IA para crear recursos de ecommerce: imágenes, videos, ideas o contenido.",Recomendar cuando el alumno pida ayuda con: estrategia de contenido orgánico para negocios.,"Crear 1 pieza de contenido y enviarla para revisar gancho, claridad y CTA."
41,G7KXTBe-UPY,✅ Búsqueda de contenido en redes sociales | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=G7KXTBe-UPY,F5_contenido_lanzamiento,crear_contenido,Clase de apoyo sobre Búsqueda de contenido en redes sociales aplicada a ecommerce/dropshipping.,"Enseñar uso práctico de IA para crear recursos de ecommerce: imágenes, videos, ideas o contenido.",Recomendar cuando el alumno pida ayuda con: búsqueda de contenido en redes sociales.,"Crear 1 pieza de contenido y enviarla para revisar gancho, claridad y CTA."
42,K2SneO3fFVM,✅ Campañas de ventas online (estructura y estrategia) | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=K2SneO3fFVM,F5_contenido_lanzamiento;F6_ventas_cierre;F7_ads_tracking,crear_contenido;ventas_cierre;ads_tracking,Clase de apoyo sobre Campañas de ventas online (estructura y estrategia) aplicada a ecommerce/dropshipping.,"Enseñar uso práctico de IA para crear recursos de ecommerce: imágenes, videos, ideas o contenido.",Recomendar cuando el alumno pida ayuda con: campañas de ventas online (estructura y estrategia).,"Crear 1 pieza de contenido y enviarla para revisar gancho, claridad y CTA."
43,9_KVpHvTtCw,✅ Cómo funciona Shopify (guía para principiantes) | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=9_KVpHvTtCw,F4_tienda_canal;F5_contenido_lanzamiento,configurar_tienda_canal;crear_contenido,Clase paso a paso sobre funciona Shopify (guía para principiantes).,Acompañar configuración o uso de Shopify para que la tienda pueda recibir y presentar productos correctamente.,Recomendar cuando el alumno pida ayuda con: cómo funciona shopify (guía para principiantes).,"Crear 1 pieza de contenido y enviarla para revisar gancho, claridad y CTA."
44,-0ewXu18s7s,✅ Contabilidad en tu ecommerce | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=-0ewXu18s7s,F1_entender_modelo,aprender_desde_cero,Clase de apoyo sobre Contabilidad en tu ecommerce aplicada a ecommerce/dropshipping.,Complementar la guía del chat con una clase práctica de Be Global Pro relacionada con la petición del alumno.,Recomendar cuando el alumno pida ayuda con: contabilidad en tu ecommerce.,"Ver la clase, aplicar el primer cambio y regresar con captura/link para continuar."
45,FQX-bFQHcd4,✅ Elementos de una tienda online que vende | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=FQX-bFQHcd4,F4_tienda_canal,configurar_tienda_canal,Clase de apoyo sobre Elementos de una tienda online que vende aplicada a ecommerce/dropshipping.,Complementar la guía del chat con una clase práctica de Be Global Pro relacionada con la petición del alumno.,Recomendar cuando el alumno pida ayuda con: elementos de una tienda online que vende.,Hacer el ajuste en la tienda y mandar captura/link para validar.
46,wbwbJoA1Fl4,✅ Haz que tu negocio exista en redes | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=wbwbJoA1Fl4,F5_contenido_lanzamiento,crear_contenido,Clase de apoyo sobre Haz que tu negocio exista en redes aplicada a ecommerce/dropshipping.,Complementar la guía del chat con una clase práctica de Be Global Pro relacionada con la petición del alumno.,Recomendar cuando el alumno pida ayuda con: haz que tu negocio exista en redes.,"Crear 1 pieza de contenido y enviarla para revisar gancho, claridad y CTA."
47,Mr6J8LvMG4A,✅ Tipos de personalidades a la hora de vender | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=Mr6J8LvMG4A,F6_ventas_cierre,ventas_cierre,Clase de apoyo sobre Tipos de personalidades a la hora de vender aplicada a ecommerce/dropshipping.,Complementar la guía del chat con una clase práctica de Be Global Pro relacionada con la petición del alumno.,Recomendar cuando el alumno pida ayuda con: tipos de personalidades a la hora de vender.,"Ver la clase, aplicar el primer cambio y regresar con captura/link para continuar."
48,GTe-SdpAscM,✅ Por dónde llegan tus clientes y dónde compran | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=GTe-SdpAscM,F6_ventas_cierre,ventas_cierre,Clase de apoyo sobre Por dónde llegan tus clientes y dónde compran aplicada a ecommerce/dropshipping.,Complementar la guía del chat con una clase práctica de Be Global Pro relacionada con la petición del alumno.,Recomendar cuando el alumno pida ayuda con: por dónde llegan tus clientes y dónde compran.,"Ver la clase, aplicar el primer cambio y regresar con captura/link para continuar."
49,ZbK_MNCXbTE,✅ Campañas publicitarias con objetivo mensajes | Clase con los expertos |Be Global Pro,https://www.youtube.com/watch?v=ZbK_MNCXbTE,F5_contenido_lanzamiento;F7_ads_tracking,crear_contenido;ads_tracking,Clase de apoyo sobre Campañas publicitarias con objetivo mensajes aplicada a ecommerce/dropshipping.,"Enseñar uso práctico de IA para crear recursos de ecommerce: imágenes, videos, ideas o contenido.",Recomendar cuando el alumno pida ayuda con: campañas publicitarias con objetivo mensajes.,"Crear 1 pieza de contenido y enviarla para revisar gancho, claridad y CTA."
50,VWVwRS44gts,✅ Cómo crear contenido para ADS (pagar publicidad) | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=VWVwRS44gts,F7_ads_tracking,ads_tracking,Clase paso a paso sobre crear contenido para ADS (pagar publicidad).,Guiar configuración de medición/publicidad para preparar campañas y seguimiento.,Recomendar cuando el alumno pida ayuda con: cómo crear contenido para ads (pagar publicidad).,Verificar configuración en la plataforma actual y mandar captura del estado.
51,Ycm5XiLUMRo,✅ Crea el logo de tu negocio sin experiencia | Clase con los expertos | BeGlobal Pro,https://www.youtube.com/watch?v=Ycm5XiLUMRo,F5_contenido_lanzamiento,crear_contenido,Clase de apoyo sobre Crea el logo de tu negocio sin experiencia aplicada a ecommerce/dropshipping.,"Enseñar uso práctico de IA para crear recursos de ecommerce: imágenes, videos, ideas o contenido.",Recomendar cuando el alumno pida ayuda con: crea el logo de tu negocio sin experiencia.,"Crear 1 pieza de contenido y enviarla para revisar gancho, claridad y CTA."
52,qui0EfJsyiA,✅ Cómo poner el precio correcto a tu producto | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=qui0EfJsyiA,F2_producto_nicho,elegir_o_mejorar_producto,Clase paso a paso sobre poner el precio correcto a tu producto.,Complementar la guía del chat con una clase práctica de Be Global Pro relacionada con la petición del alumno.,Recomendar cuando el alumno pida ayuda con: cómo poner el precio correcto a tu producto.,Aplicar la estructura al producto actual y enviar link/captura para revisión.
